year,period,periodName,date,series,value,md_rate,mn_rate
2021,M08,August,2021-08-01,hr,4.4,3.8,3.8545454545454545
2021,M08,August,2021-08-01,tsl,5839,5334,5318
2021,M08,August,2021-08-01,tsr,4,3.6,3.6272727272727274
2021,M08,August,2021-08-01,jol,10960,6360,7123.818181818182
2021,M08,August,2021-08-01,jor,6.9,4.3,4.590909090909091
2021,M07,July,2021-07-01,ldl,1418,1759,1722.4545454545455
2021,M07,July,2021-07-01,ldr,1,1.2,1.190909090909091
2021,M07,July,2021-07-01,ql,4079,3097,3234.181818181818
2021,M07,July,2021-07-01,qr,2.8,2.2,2.209090909090909
2021,M07,July,2021-07-01,hl,6555,5649,5649.909090909091
2021,M07,July,2021-07-01,hr,4.5,3.8,3.8636363636363638
2021,M07,July,2021-07-01,tsl,5841,5338,5302.727272727273
2021,M07,July,2021-07-01,tsr,4,3.6,3.609090909090909
2021,M07,July,2021-07-01,jol,10882,6514,7174.909090909091
2021,M07,July,2021-07-01,jor,6.9,4.5,4.654545454545454
2021,M06,June,2021-06-01,ldl,1329,1761,1752.8181818181818
2021,M06,June,2021-06-01,ldr,0.9,1.2,1.209090909090909
2021,M06,June,2021-06-01,ql,4015,3154,3187.4545454545455
2021,M06,June,2021-06-01,qr,2.8,2.2,2.1818181818181817
2021,M06,June,2021-06-01,hl,6543,5760,5759.363636363636
2021,M06,June,2021-06-01,hr,4.5,3.8,3.9545454545454546
2021,M06,June,2021-06-01,tsl,5737,5463,5292.727272727273
2021,M06,June,2021-06-01,tsr,3.9,3.7,3.6272727272727274
2021,M06,June,2021-06-01,jol,10069,6305,7010
2021,M06,June,2021-06-01,jor,6.5,4.3,4.554545454545455
2021,M05,May,2021-05-01,ldl,1345,1773,1724.909090909091
2021,M05,May,2021-05-01,ldr,0.9,1.2,1.190909090909091
2021,M05,May,2021-05-01,ql,3824,3111,3162.6363636363635
2021,M05,May,2021-05-01,qr,2.6,2.1,2.1636363636363636
2021,M05,May,2021-05-01,hl,6036,5725,5798.272727272727
2021,M05,May,2021-05-01,hr,4.2,3.8,4.009090909090909
2021,M05,May,2021-05-01,tsl,5508,5270,5230.363636363636
2021,M05,May,2021-05-01,tsr,3.8,3.6,3.618181818181818
2021,M05,May,2021-05-01,jol,9840,5826,6987.727272727273
2021,M05,May,2021-05-01,jor,6.4,4,4.554545454545455
2021,M04,April,2021-04-01,ldl,1422,1764,2376.3636363636365
2021,M04,April,2021-04-01,ldr,1,1.2,1.709090909090909
2021,M04,April,2021-04-01,ql,3929,3028,3134.3636363636365
2021,M04,April,2021-04-01,qr,2.7,2.1,2.1636363636363636
2021,M04,April,2021-04-01,hl,6170,5294,5428.181818181818
2021,M04,April,2021-04-01,hr,4.3,3.7,3.7545454545454544
2021,M04,April,2021-04-01,tsl,5714,5441,5860.181818181818
2021,M04,April,2021-04-01,tsr,4,3.6,4.109090909090909
2021,M04,April,2021-04-01,jol,9288,6091,6923.909090909091
2021,M04,April,2021-04-01,jor,6,4,4.5181818181818185
2021,M03,March,2021-03-01,ldl,1514,1787,2759.2727272727275
2021,M03,March,2021-03-01,ldr,1,1.2,1.8545454545454545
2021,M03,March,2021-03-01,ql,3654,3150,3193.181818181818
2021,M03,March,2021-03-01,qr,2.5,2.2,2.1818181818181817
2021,M03,March,2021-03-01,hl,6105,5395,5477.545454545455
2021,M03,March,2021-03-01,hr,4.2,3.7,3.7363636363636363
2021,M03,March,2021-03-01,tsl,5494,5494,6302.363636363636
2021,M03,March,2021-03-01,tsr,3.8,3.7,4.290909090909091
2021,M03,March,2021-03-01,jol,8399,6129,6884.909090909091
2021,M03,March,2021-03-01,jor,5.5,4.1,4.463636363636364
2021,M02,February,2021-02-01,ldl,1629,1757,1719.8181818181818
2021,M02,February,2021-02-01,ldr,1.1,1.2,1.1727272727272728
2021,M02,February,2021-02-01,ql,3435,3222,3232.181818181818
2021,M02,February,2021-02-01,qr,2.4,2.2,2.2181818181818183
2021,M02,February,2021-02-01,hl,5864,5624,5575.454545454545
2021,M02,February,2021-02-01,hr,4.1,3.8,3.818181818181818
2021,M02,February,2021-02-01,tsl,5382,5319,5295.181818181818
2021,M02,February,2021-02-01,tsr,3.7,3.7,3.6272727272727274
2021,M02,February,2021-02-01,jol,7760,6552,6862.727272727273
2021,M02,February,2021-02-01,jor,5.1,4.2,4.4363636363636365
2021,M01,January,2021-01-01,ldl,1578,1745,1725.909090909091
2021,M01,January,2021-01-01,ldr,1.1,1.2,1.1818181818181819
2021,M01,January,2021-01-01,ql,3299,3188,3187.4545454545455
2021,M01,January,2021-01-01,qr,2.3,2.2,2.172727272727273
2021,M01,January,2021-01-01,hl,5647,5512,5518.454545454545
2021,M01,January,2021-01-01,hr,4,3.8,3.790909090909091
2021,M01,January,2021-01-01,tsl,5164,5288,5264.454545454545
2021,M01,January,2021-01-01,tsr,3.6,3.6,3.6272727272727274
2021,M01,January,2021-01-01,jol,7175,6621,6870
2021,M01,January,2021-01-01,jor,4.8,4.3,4.454545454545454
2020,M12,December,2020-12-01,ldl,1912,1786.5,1743.3
2020,M12,December,2020-12-01,ldr,1.3,1.25,1.2
2020,M12,December,2020-12-01,ql,3403,3312.5,3289.8
2020,M12,December,2020-12-01,qr,2.4,2.25,2.24
2020,M12,December,2020-12-01,hl,5598,5569,5627.2
2020,M12,December,2020-12-01,hr,3.9,3.9,3.85
2020,M12,December,2020-12-01,tsl,5644,5401.5,5382.7
2020,M12,December,2020-12-01,tsr,4,3.7,3.68
2020,M12,December,2020-12-01,jol,6854,6522.5,7150.8
2020,M12,December,2020-12-01,jor,4.6,4.15,4.6
2020,M11,November,2020-11-01,ldl,2138,1749,1732.3
2020,M11,November,2020-11-01,ldr,1.5,1.2,1.19
2020,M11,November,2020-11-01,ql,3253,3219.5,3303.9
2020,M11,November,2020-11-01,qr,2.3,2.25,2.25
2020,M11,November,2020-11-01,hl,5906,5660,5645.6
2020,M11,November,2020-11-01,hr,4.1,3.8499999999999996,3.88
2020,M11,November,2020-11-01,tsl,5718,5478.5,5391.7
2020,M11,November,2020-11-01,tsr,4,3.6500000000000004,3.69
2020,M11,November,2020-11-01,jol,6875,6573,7027.8
2020,M11,November,2020-11-01,jor,4.6,4.25,4.54
2020,M10,October,2020-10-01,ldl,1711,1760.5,1705.8
2020,M10,October,2020-10-01,ldr,1.2,1.2,1.16
2020,M10,October,2020-10-01,ql,3304,3261.5,3261.9
2020,M10,October,2020-10-01,qr,2.3,2.25,2.2199999999999998
2020,M10,October,2020-10-01,hl,6135,5693,5643.6
2020,M10,October,2020-10-01,hr,4.3,3.8,3.87
2020,M10,October,2020-10-01,tsl,5362,5379.5,5318.1
2020,M10,October,2020-10-01,tsr,3.8,3.7,3.64
2020,M10,October,2020-10-01,jol,6820,6614,7029.4
2020,M10,October,2020-10-01,jor,4.6,4.4,4.57
2020,M09,September,2020-09-01,ldl,1578,1741,1708.6
2020,M09,September,2020-09-01,ldr,1.1,1.2,1.18
2020,M09,September,2020-09-01,ql,3173,3181.5,3242
2020,M09,September,2020-09-01,qr,2.2,2.2,2.23
2020,M09,September,2020-09-01,hl,5949,5537.5,5632
2020,M09,September,2020-09-01,hr,4.2,3.75,3.88
2020,M09,September,2020-09-01,tsl,5118,5203.5,5297.4
2020,M09,September,2020-09-01,tsr,3.6,3.6,3.64
2020,M09,September,2020-09-01,jol,6512,6416,6953.7
2020,M09,September,2020-09-01,jor,4.4,4.25,4.51
2020,M08,August,2020-08-01,ldl,1593,1773,1714.2727272727273
2020,M08,August,2020-08-01,ldr,1.1,1.2,1.1727272727272728
2020,M08,August,2020-08-01,ql,2954,3103,3250.6363636363635
2020,M08,August,2020-08-01,qr,2.1,2.1,2.209090909090909
2020,M08,August,2020-08-01,hl,5938,5815,5633.272727272727
2020,M08,August,2020-08-01,hr,4.2,3.8,3.8545454545454545
2020,M08,August,2020-08-01,tsl,4879,5334,5318
2020,M08,August,2020-08-01,tsr,3.5,3.6,3.6272727272727274
