year,period,periodName,date,series,value,md_rate,mn_rate
2020,M01,January,2020-01-01,tsr,5714,5288,5264.45454545455
2020,M01,January,2020-01-01,tsl,3.8,3.6,3.62727272727273
2019,M12,December,2019-12-01,ldl,1939,1786.5,1743.3
2019,M12,December,2019-12-01,ldr,1.3,1.25,1.2
2019,M12,December,2019-12-01,ql,3536,3312.5,3289.8
2019,M12,December,2019-12-01,qr,2.3,2.25,2.24
2019,M12,December,2019-12-01,hl,5913,5569,5627.2
2019,M12,December,2019-12-01,hr,3.9,3.9,3.85
2019,M12,December,2019-12-01,tsr,5828,5401.5,5382.7
2019,M12,December,2019-12-01,tsl,3.8,3.7,3.68
2019,M11,November,2019-11-01,ldl,1784,1749,1732.3
2019,M11,November,2019-11-01,ldr,1.2,1.2,1.19
2019,M11,November,2019-11-01,ql,3526,3219.5,3303.9
2019,M11,November,2019-11-01,qr,2.3,2.25,2.25
2019,M11,November,2019-11-01,hl,5868,5660,5645.6
2019,M11,November,2019-11-01,hr,3.9,3.85,3.88
2019,M11,November,2019-11-01,tsr,5674,5478.5,5391.7
2019,M11,November,2019-11-01,tsl,3.7,3.65,3.69
2019,M10,October,2019-10-01,ldl,1810,1760.5,1705.8
2019,M10,October,2019-10-01,ldr,1.2,1.2,1.16
2019,M10,October,2019-10-01,ql,3427,3261.5,3261.9
2019,M10,October,2019-10-01,qr,2.3,2.25,2.22
2019,M10,October,2019-10-01,hl,5805,5693,5643.6
2019,M10,October,2019-10-01,hr,3.8,3.8,3.87
2019,M10,October,2019-10-01,tsr,5603,5379.5,5318.1
2019,M10,October,2019-10-01,tsl,3.7,3.7,3.64
2019,M09,September,2019-09-01,ldl,1951,1741,1708.6
2019,M09,September,2019-09-01,ldr,1.3,1.2,1.18
2019,M09,September,2019-09-01,ql,3435,3181.5,3242
2019,M09,September,2019-09-01,qr,2.3,2.2,2.23
2019,M09,September,2019-09-01,hl,5973,5537.5,5632
2019,M09,September,2019-09-01,hr,3.9,3.75,3.88
2019,M09,September,2019-09-01,tsr,5727,5203.5,5297.4
2019,M09,September,2019-09-01,tsl,3.8,3.6,3.64
2019,M08,August,2019-08-01,ldl,1800,1786.5,1717.7
2019,M08,August,2019-08-01,ldr,1.2,1.2,1.18
2019,M08,August,2019-08-01,ql,3529,3050.5,3211.9
2019,M08,August,2019-08-01,qr,2.3,2.1,2.2
2019,M08,August,2019-08-01,hl,5914,5667,5610.9
2019,M08,August,2019-08-01,hr,3.9,3.85,3.87
2019,M08,August,2019-08-01,tsr,5631,5269,5282.2
2019,M08,August,2019-08-01,tsl,3.7,3.6,3.63
2019,M07,July,2019-07-01,ldl,1831,1759,1711
2019,M07,July,2019-07-01,ldr,1.2,1.2,1.18181818181818
2019,M07,July,2019-07-01,ql,3614,3097,3227.81818181818
2019,M07,July,2019-07-01,qr,2.4,2.2,2.20909090909091
2019,M07,July,2019-07-01,hl,5886,5649,5645.45454545455
2019,M07,July,2019-07-01,hr,3.9,3.8,3.86363636363636
2019,M07,July,2019-07-01,tsr,5795,5338,5288.63636363636
2019,M07,July,2019-07-01,tsl,3.8,3.6,3.6
2019,M06,June,2019-06-01,ldl,1770,1761,1752.81818181818
2019,M06,June,2019-06-01,ldr,1.2,1.2,1.20909090909091
2019,M06,June,2019-06-01,ql,3493,3154,3187.45454545455
2019,M06,June,2019-06-01,qr,2.3,2.2,2.18181818181818
2019,M06,June,2019-06-01,hl,5768,5760,5759.36363636364
2019,M06,June,2019-06-01,hr,3.8,3.8,3.95454545454545
2019,M06,June,2019-06-01,tsr,5586,5463,5292.72727272727
2019,M06,June,2019-06-01,tsl,3.7,3.7,3.62727272727273
2019,M05,May,2019-05-01,ldl,1773,1773,1724.90909090909
2019,M05,May,2019-05-01,ldr,1.2,1.2,1.19090909090909
2019,M05,May,2019-05-01,ql,3463,3111,3162.63636363636
2019,M05,May,2019-05-01,qr,2.3,2.1,2.16363636363636
2019,M05,May,2019-05-01,hl,5725,5725,5798.27272727273
2019,M05,May,2019-05-01,hr,3.8,3.8,4.00909090909091
2019,M05,May,2019-05-01,tsr,5542,5270,5230.36363636364
2019,M05,May,2019-05-01,tsl,3.7,3.6,3.61818181818182
2019,M04,April,2019-04-01,ldl,1962,1764,2376.36363636364
2019,M04,April,2019-04-01,ldr,1.3,1.2,1.70909090909091
2019,M04,April,2019-04-01,ql,3488,3028,3134.36363636364
2019,M04,April,2019-04-01,qr,2.3,2.1,2.16363636363636
2019,M04,April,2019-04-01,hl,6011,5294,5428.18181818182
2019,M04,April,2019-04-01,hr,4,3.7,3.75454545454545
2019,M04,April,2019-04-01,tsr,5766,5441,5860.18181818182
2019,M04,April,2019-04-01,tsl,3.8,3.6,4.10909090909091
2019,M03,March,2019-03-01,ldl,1692,1787,2759.27272727273
2019,M03,March,2019-03-01,ldr,1.1,1.2,1.85454545454545
2019,M03,March,2019-03-01,ql,3534,3150,3193.18181818182
2019,M03,March,2019-03-01,qr,2.4,2.2,2.18181818181818
2019,M03,March,2019-03-01,hl,5698,5395,5477.54545454545
2019,M03,March,2019-03-01,hr,3.8,3.7,3.73636363636364
2019,M03,March,2019-03-01,tsr,5557,5494,6302.36363636364
2019,M03,March,2019-03-01,tsl,3.7,3.7,4.29090909090909
2019,M02,February,2019-02-01,ldl,1777,1757,1719.81818181818
2019,M02,February,2019-02-01,ldr,1.2,1.2,1.17272727272727
2019,M02,February,2019-02-01,ql,3580,3222,3232.18181818182
2019,M02,February,2019-02-01,qr,2.4,2.2,2.21818181818182
2019,M02,February,2019-02-01,hl,5680,5624,5575.45454545455
2019,M02,February,2019-02-01,hr,3.8,3.8,3.81818181818182
2019,M02,February,2019-02-01,tsr,5703,5319,5295.18181818182
